Tissue,a-ketoglutarate,alanine,arginine,asparagine,aspartate,citrate,fumarate,glutamate,glutamine,glycine,histidine,isoleucine,lactate,leucine,lysine,malate,methionine,phenylalanine,proline,pyruvate,serine,succinate,threonine,tryptophan,tyrosine,valine
Stomach,250.04,5960.05,120.76,270.12,644.07,543.51,59.78,3405.20,2041.91,1569.22,201.99,172.09,2705.04,288.21,371.11,305.16,94.96,160.23,198.95,233.73,478.17,238.03,335.02,50.79,155.22,321.78
Jejunum,445.81,6077.59,100.09,195.40,776.81,503.83,123.28,2824.60,665.96,1229.38,105.44,131.49,4900.07,207.64,222.12,616.27,52.78,101.24,208.26,984.82,214.78,261.98,192.45,39.55,80.97,253.25
Jejunum,396.86,10622.27,38.20,136.22,1156.13,374.77,97.67,3094.85,460.38,1089.87,154.70,65.06,6776.29,93.89,144.69,492.22,34.00,47.31,131.52,326.41,131.32,431.18,133.26,17.31,40.74,164.88
Jejunum,860.68,9006.42,121.13,389.40,1107.40,290.42,299.23,3010.90,453.42,2003.91,214.05,289.82,6622.86,455.90,254.28,1224.92,153.46,214.18,378.91,3768.02,507.05,591.34,395.08,73.90,255.16,492.27
Jejunum,574.53,10519.96,130.57,314.70,1073.01,304.58,134.23,2972.35,423.55,1699.19,198.59,203.11,7010.21,301.58,252.35,649.53,95.39,159.62,308.72,2044.21,393.20,601.02,330.41,73.39,162.74,407.43
Lung,252.17,686.65,64.62,124.72,757.49,729.13,53.42,1861.58,1381.14,3366.88,55.71,61.54,1355.23,105.35,146.26,233.61,24.39,48.55,60.91,327.18,165.93,37.27,148.31,18.96,34.47,142.38
Lung,250.13,1271.25,57.68,155.95,1110.47,489.33,53.06,2333.85,1136.55,3995.86,209.32,60.67,1649.65,89.70,146.29,236.31,31.03,43.47,57.32,390.66,214.71,39.18,199.55,18.94,43.60,146.95
Lung,302.38,1283.65,65.47,165.09,1241.20,508.39,52.08,2236.37,963.70,3773.00,172.61,60.39,1602.36,95.39,186.95,240.71,40.60,48.23,72.33,450.34,230.34,62.48,242.32,21.03,83.77,160.76
Lung,390.67,1773.46,74.77,175.56,1103.04,574.01,48.58,2285.01,1135.61,4176.30,172.67,59.35,1534.86,90.06,183.58,233.83,31.78,47.97,70.53,459.18,263.47,64.40,231.39,23.09,60.68,163.68
Heart,43.81,7287.14,196.59,175.54,888.85,745.79,123.48,4108.30,4532.07,411.35,176.86,77.39,5680.11,119.88,428.27,614.84,36.59,59.41,65.12,148.58,184.30,300.54,221.23,18.95,37.44,162.27
