Compound,Blank_3,Control_100ppm_1,Control_100ppm_2,Control_100ppm_3,Control_500ppm_1,Control_500ppm_2,Control_500ppm_3,Insulin_100ppm_1,Insulin_100ppm_2,Insulin_100ppm_3,Insulin_500ppm_1,Insulin_500ppm_2,Insulin_500ppm_3
Butyryl-L-carnitine (1),86204.88561,498594.3767,636799.835,440559.2001,778434.5904,521807.1982,827236.4372,585858.6164,503632.9559,532502.4553,513460.7679,494471.6525,523193.2446
L-Carnitine (1),77005.03436,1770806777,1752193483,1727570856,1921697350,1849925955,2311191679,1847654874,1524440827,1812685589,1840779220,1935394665,2057007051
Hydroxybutyrylcarnitine (1),22161.00418,56975457.94,54435491.22,55941886.79,52703936.95,56362455.99,77471010.05,28328492,28152167.24,29426524.35,23866349.82,24742133.71,23463609.19
glutamine (1),58300.77102,83982351.05,75579157.41,73433821.49,87070367.79,77402914.18,96003581.51,77065493.29,71913775.39,75433362.62,73983015.94,76128919.01,77438327.19
tryptophan (2),1629.437444,582738.2202,459700.6955,476001.512,751178.6455,589434.509,950934.6735,744761.4821,622356.0998,681618.1838,824652.0093,767407.9234,794439.4823
phenylalanine (2),2753.902108,1556066.284,1248182.612,1303321.757,2258137.161,1715278.003,2745424.741,1632219.463,1451287.173,1523985.513,1976466.015,1796721.513,1840416.688
leucine (1),592754.8178,2133031.649,1610170.363,1702882.699,2620249.674,2206129.716,3680118.496,2279276.286,1829738.279,2072635.904,2691701.648,2491320.021,2471953.683
isoleucine (1),140819.4,812553.8608,601126.4514,653460.8114,1737216.579,1293732.281,1742703.499,840989.4617,698973.7382,749026.9429,1135432.595,1128626.297,1003484.658
threonine (1),301748.2546,812613.5845,619612.8654,677650.0934,1110881.526,895818.0183,869228.8655,715048.2127,633350.7901,611659.2071,743857.3119,826334.5565,797979.4841
cyclic AMP (1),7161.323212,18774.50775,11697.9352,18588.44203,14613.07016,17077.29864,20626.05551,10473.12279,12441.6531,10924.43329,2449.190988,9762.730138,11370.83819
GMP (1),28209.54183,39288.76932,26829.43422,40076.88891,41371.15995,45983.55756,49305.23584,46925.64354,56866.04041,64545.83433,63031.57156,57303.23303,68739.63802
