Compound,C_Label,Control_100ppm_1,Control_100ppm_2,Control_100ppm_3,Control_500ppm_1,Control_500ppm_2,Control_500ppm_3,Insulin_100ppm_1,Insulin_100ppm_2,Insulin_100ppm_3,Insulin_500ppm_1,Insulin_500ppm_2,Insulin_500ppm_3
fumarate (1),1,7.72E-05,0.000814064,0.004093234,0,0.003139863,0,0.002331031,0.004488683,0.009138975,0,0.000980786,0
fumarate (1),2,0.121891296,0.128992342,0.105384732,0.14826989,0.138853847,0.126713553,0.102868654,0.100607611,0.1042243,0.101598211,0.116744713,0.110572757
fumarate (1),3,0.00565324,0.009952142,0.004432497,0.010350466,0.002237616,0.005994149,0.001819886,0.003448528,0.003493864,0.001980288,0,0.001236781
fumarate (1),4,0,0,0,0,0,0,0,0,0,0,0,0
a-ketoglutarate (1),0,0.807711892,0.768507538,0.802907257,0.742795335,0.772653222,0.754930739,0.860883566,0.842257286,0.854202532,0.840114412,0.831787625,0.843522866
a-ketoglutarate (1),1,0,0,0,0.000610869,0,0,0,0.011858687,0,0,0,0.004084082
a-ketoglutarate (1),2,0.185087349,0.214026406,0.192200752,0.230142395,0.208083362,0.22548757,0.133388937,0.141150224,0.142346793,0.151973024,0.166791363,0.149518738
a-ketoglutarate (1),3,0.00274091,0.009690335,0,0.014247541,0.010596048,0.008953536,0.003148461,0,0.000644432,0.005639969,0,0
a-ketoglutarate (1),4,0.004459848,0.00777572,0.00489199,0.01220386,0.008667368,0.010628154,0.002579036,0.004733804,0.002806243,0.002272595,0.001421012,0.002874314
a-ketoglutarate (1),5,0,0,0,0,0,0,0,0,0,0,0,0
glutamate (1),0,0.734843966,0.693549197,0.736789909,0.673098625,0.702138538,0.706039881,0.806122532,0.800360107,0.809586703,0.799649402,0.797648724,0.804650774
glutamate (1),1,0,0,0,0,0,0,0.000670356,0.001139265,0,0,0.000186909,0
glutamate (1),2,0.239305246,0.274196154,0.241261598,0.289329668,0.267330924,0.265744861,0.176396103,0.184723522,0.177178866,0.186409876,0.189607476,0.181622823
glutamate (1),3,0.013364859,0.017230501,0.010218209,0.017878862,0.015688407,0.014325169,0.009255989,0.00595388,0.005217148,0.00709509,0.005873357,0.006654008
glutamate (1),4,0.012485928,0.015024147,0.011730285,0.019692846,0.014842131,0.013890089,0.00755502,0.007823226,0.008017284,0.006845633,0.006683534,0.007072395
glutamate (1),5,0,0,0,0,0,0,0,0,0,0,0,0
Creatine phosphate  (1),0,1,1,0.999685751,1,1,1,0.994296399,0.9918131,1,1,1,1
Creatine phosphate  (1),1,0,0,0.000314249,0,0,0,0.005703601,0.0081869,0,0,0,0
Creatine phosphate  (1),2,0,0,0,0,0,0,0,0,0,0,0,0
Creatine phosphate  (1),3,0,0,0,0,0,0,0,0,0,0,0,0
Creatine phosphate  (1),4,0,0,0,0,0,0,0,0,0,0,0,0
creatine (1),0,0.996213653,1,1,0.996263452,1,1,0.999365987,1,1,1,0.999979448,0.998485285
creatine (1),1,0.003786347,0,0,0.003736548,0,0,0.000634013,0,0,0,2.06E-05,0.001514715
creatine (1),2,0,0,0,0,0,0,0,0,0,0,0,0
creatine (1),3,0,0,0,0,0,0,0,0,0,0,0,0
creatine (1),4,0,0,0,0,0,0,0,0,0,0,0,0
alanine (1),0,0.998724055,0.998744723,0.998291741,1,0.996313747,0.999767896,1,1,0.998136327,1,1,1
alanine (1),1,0.001275945,0.001255277,0.001708259,0,0.003686253,0.000232104,0,0,0.001863673,0,0,0
alanine (1),2,0,0,0,0,0,0,0,0,0,0,0,0
alanine (1),3,0,0,0,0,0,0,0,0,0,0,0,0
C16:0 (1),0,0.169072807,0.143101853,0.275371033,0.07749858,0.111102055,0.044367969,0.229538078,0.212564814,0.129653492,0.128779264,0.056326946,0.050216692
C16:0 (1),1,0,0,0,0,0,0,0,0,0,0,0,0
C16:0 (1),2,0,0,0,0,0,0,0,0,0,0,0,0
C16:0 (1),3,0,0,0,0,0,0,0,0,0,0,0,0
C16:0 (1),4,0,0,0,0,8.26E-06,0,0,0,0,0,0,0
C16:0 (1),5,0,3.72E-05,0,0,3.18E-05,7.06E-06,0,4.77E-05,0,3.59E-05,0,0
C16:0 (1),6,0.000125747,4.27E-05,3.81E-05,0,7.57E-05,0.00012415,7.47E-05,9.73E-05,2.68E-05,7.23E-06,8.95E-05,0.000123203
C16:0 (1),7,9.89E-05,7.16E-05,7.03E-05,0.000153179,0,0.000131385,0.00012808,9.17E-07,9.61E-05,5.12E-05,9.90E-05,0.000136317
C16:0 (1),8,7.34E-05,9.73E-05,8.13E-05,0.000135035,0.000208506,0.000232297,0.000110046,0.000204348,0.000265411,0.000108306,0.000178944,0.000192801
C16:0 (1),9,0.000168312,0.000208515,6.89E-05,0.000360554,0.000182126,0.00019171,0.000145677,6.49E-05,7.53E-05,0.000210303,0.000251003,0.000273286
C16:0 (1),10,0.000221696,0.00012911,0.000380091,0.000197962,0.000292513,0.000279276,0.000272716,0.000259539,0.000310565,0.00032541,0.000301559,0.000126523
C16:0 (1),11,0.000464247,0.000378652,0.000345395,0.000483965,0.000532652,0.000479201,0.00042482,0.000418961,0.000403116,0.000428414,0.000593939,0.000497605
C16:0 (1),12,0.001055018,0.001089673,0.000603,0.001020406,0.001103771,0.001097399,0.000955652,0.001009077,0.000901098,0.000984218,0.000940393,0.00099227
C16:0 (1),13,0,0,0,0,0,0,0,0,0,0,0,0
C16:0 (1),14,0,0,0,0,0,0,0,0,0,0,0,0
C16:0 (1),15,0,0,0,0,0,0,0,0,0,0,0,0
C16:0 (1),16,0.8287199,0.854843281,0.723041859,0.920150318,0.88646263,0.953089553,0.768350188,0.785332419,0.86826806,0.869069776,0.941218745,0.947441304
C18:0 (1),0,0.911578034,0.892066531,0.946489879,0.792161286,0.865069082,0.725276826,0.915048404,0.925211212,0.876371208,0.863497179,0.752303661,0.739669406
C18:0 (1),1,0,0,0,0,0,0,0,0.000281349,0,0,0,0
C18:0 (1),2,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),3,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),4,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),5,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),6,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),7,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),8,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),9,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),10,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),11,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),12,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),13,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),14,0,0,3.84E-05,0,0,0,0,0,0,0,0,0
C18:0 (1),15,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),16,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),17,0,0,0,0,0,0,0,0,0,0,0,0
C18:0 (1),18,0.088421966,0.107933469,0.053471766,0.207838714,0.134930918,0.274723174,0.084951596,0.074507439,0.123628792,0.136502821,0.247696339,0.260330594
C18:2  (1),0,1,1,1,1,0.992248408,0.998408235,1,0.98005059,0.994825824,1,1,1
C18:2  (1),1,0,0,0,0,0.007751592,0.001591765,0,0.01994941,0.005174176,0,0,0
C18:2  (1),2,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),3,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),4,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),5,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),6,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),7,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),8,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),9,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),10,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),11,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),12,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),13,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),14,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),15,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),16,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),17,0,0,0,0,0,0,0,0,0,0,0,0
C18:2  (1),18,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),0,0.999232693,0.995212123,0.998528908,0.983243831,0.990889361,0.986622551,0.998566722,1,0.997881625,0.99285871,0.984392567,0.981508878
C18:1 (1),1,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),2,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),3,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),4,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),5,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),6,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),7,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),8,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),9,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),10,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),11,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),12,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),13,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),14,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),15,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),16,0,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),17,0.00076324,0,0,0,0,0,0,0,0,0,0,0
C18:1 (1),18,4.07E-06,0.004787877,0.001471092,0.016756169,0.009110639,0.013377449,0.001433278,0,0.002118375,0.00714129,0.015607433,0.018491122
C16:1 (1),0,1,0.976760113,1,0.985925588,0.997807903,0.989410558,0.997134274,0.986539489,0.999311895,0.980679983,0.967749928,0.956889196
C16:1 (1),1,0,0.023239887,0,0.014074412,0.002192097,0.010589442,0.002865726,0.013460511,0.000688105,0.019320017,0.032250072,0.043110804
C16:1 (1),2,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),3,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),4,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),5,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),6,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),7,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),8,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),9,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),10,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),11,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),12,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),13,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),14,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),15,0,0,0,0,0,0,0,0,0,0,0,0
C16:1 (1),16,0,0,0,0,0,0,0,0,0,0,0,0
AMP (1),0,1,1,1,1,1,1,1,1,1,1,1,1
AMP (1),1,0,0,0,0,0,0,0,0,0,0,0,0
AMP (1),2,0,0,0,0,0,0,0,0,0,0,0,0
AMP (1),3,0,0,0,0,0,0,0,0,0,0,0,0
AMP (1),4,0,0,0,0,0,0,0,0,0,0,0,0
AMP (1),5,0,0,0,0,0,0,0,0,0,0,0,0
AMP (1),6,0,0,0,0,0,0,0,0,0,0,0,0
AMP (1),7,0,0,0,0,0,0,0,0,0,0,0,0
AMP (1),8,0,0,0,0,0,0,0,0,0,0,0,0
AMP (1),9,0,0,0,0,0,0,0,0,0,0,0,0
AMP (1),10,0,0,0,0,0,0,0,0,0,0,0,0
serine (1),0,1,1,1,1,1,1,1,1,1,1,1,1
serine (1),1,0,0,0,0,0,0,0,0,0,0,0,0
serine (1),2,0,0,0,0,0,0,0,0,0,0,0,0
serine (1),3,0,0,0,0,0,0,0,0,0,0,0,0
L-Homoserine (1),0,1,1,1,1,1,1,1,1,1,1,1,1
L-Homoserine (1),1,0,0,0,0,0,0,0,0,0,0,0,0
L-Homoserine (1),2,0,0,0,0,0,0,0,0,0,0,0,0
L-Homoserine (1),3,0,0,0,0,0,0,0,0,0,0,0,0
L-Homoserine (1),4,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),0,0.028260621,0.029761786,0.027419478,0.013844907,0.014194788,0.014157243,0.017189281,0.01803084,0.018274942,0.008238044,0.007632418,0.008478904
