Compound,Blank_before_plasma_2,Day1_Cage3_T0,Day1_Cage3_T60,Day1_Cage3_T120,Day1_Cage3_T150,Day1_Cage6_T0,Day1_Cage6_T60,Day1_Cage6_T120,Day1_Cage6_T150,Day1_Cage11_T0,Day1_Cage11_T60,Day1_Cage11_T120,Day1_Cage11_T150,Day2_Cage3_T0,Day2_Cage3_T60,Day2_Cage3_T120,Day2_Cage3_T150,Day2_Cage6_T0,Day2_Cage6_T60,Day2_Cage6_T120,Day2_Cage6_T150,Day2_Cage11_T0,Day2_Cage11_T60,Day2_Cage11_T120,Day2_Cage11_T150,Day1_Cage1_T0,Day1_Cage1_T60,Day1_Cage1_T120,Day1_Cage1_T150,Day1_Cage4_T0,Day1_Cage4_T60,Day1_Cage4_T120,Day1_Cage4_T150,Day1_Cage9_T0,Day1_Cage9_T60,Day1_Cage9_T120,Day1_Cage9_T150,Day1_Cage12_T0,Day1_Cage12_T60,Day1_Cage12_T120,Day1_Cage12_T150,Day2_Cage1_T0,Day2_Cage1_T60,Day2_Cage1_T120,Day2_Cage1_T150,Day2_Cage4_T0,Day2_Cage4_T60,Day2_Cage4_T120,Day2_Cage4_T150,Day2_Cage9_T0,Day2_Cage9_T60,Day2_Cage9_T120,Day2_Cage9_T150,Day2_Cage12_T0,Day2_Cage12_T60,Day2_Cage12_T120,Day2_Cage12_T150,Day1_Cage2_T0,Day1_Cage2_T60,Day1_Cage2_T120,Day1_Cage2_T150,Day1_Cage5_T0,Day1_Cage5_T60,Day1_Cage5_T120,Day1_Cage5_T150,Day1_Cage10_T0,Day1_Cage10_T60,Day1_Cage10_T120,Day1_Cage10_T150,Day1_Cage13_T0,Day1_Cage13_T60,Day1_Cage13_T120,Day1_Cage13_T150,Day2_Cage2_T0,Day2_Cage2_T60,Day2_Cage2_T120,Day2_Cage2_T150,Day2_Cage5_T0,Day2_Cage5_T60,Day2_Cage5_T120,Day2_Cage5_T150,Day2_Cage10_T0,Day2_Cage10_T60,Day2_Cage10_T120,Day2_Cage10_T150,Day2_Cage13_T0,Day2_Cage13_T60,Day2_Cage13_T120,Day2_Cage13_T150
3-hydroxybutyrate,11030.58632,15163783.87,18138651.09,16469987.26,15077303.24,12101948.22,33889497.85,18550873.08,28663020.35,10791945.96,13615254.67,26489245.15,32194815.64,14257846.7,130333708.7,224736731.5,253256471.7,24034610.37,167219614.6,211149170.1,250926994.6,11675550.72,146406416.2,277050550.6,431203687,13162941.58,21753198.67,16954970.68,21276658.83,19716580.15,11561017.1,20779738.31,23312481.66,20054844.66,27069811.46,16053365.82,24828795.1,19035069.76,25306456.65,26182111.35,32423986.56,17129920.08,2189745.823,798970.2026,894562.2718,16383872.8,2948951.873,1154561.096,1387896.029,9990448.97,1682295.054,1932505.823,1264324.388,13751980.71,2131520.244,1377612.365,1680679.51,30903485.84,23227402.65,27873041.94,42032143.56,21523087.32,27157761.73,16995305.45,25815870.34,22966424.63,14480581.37,19030285.05,26840116.4,22736301.76,18299718.77,13449531.66,37683282.75,15328967.74,4398945.253,3878261.363,6733189.302,21138364,5834055.728,3637831.496,6325653.268,12861047.64,4901121.957,7906970.946,14034618.45,19904743.36,9029785.156,7606843.121,2324187.711
lactate,93498.70068,105688763,57389969.71,68313387.89,52476214.79,84133184.36,67299034.94,63135012.3,40035077.76,69966052.21,61525746.9,48917998.78,45603742.83,85258319.89,96606494.04,83984321.69,55490685.11,102768255.2,88545177.55,57260155.45,72852898.63,198045645.4,178930419.2,76400224.7,61803826.46,99869682.22,79737857.08,68495656.24,50673335.61,85662880.42,74765428.97,61244656.22,43278314.41,83709468.21,56773960.01,39365519.59,36049782.87,95657987.42,79224949.3,59440463.39,50256502.77,75495923.32,96120603.48,84997294.83,105725511.7,88767135.82,79536222.52,76277456.24,66169484.18,82280080.12,74929669.05,84676451.5,63169641.94,84517174.2,99742038.33,79745815.33,76866056.75,95205016.85,88465047.87,85628749.62,68460961.07,73489738.65,75420779.36,69064758.55,59602616.18,110620453.8,88112563.12,81117397.95,69010707.8,81253722.85,92523750.15,85291154.62,67655962.66,74955034.5,188686295.6,168467278.4,188591745.6,78223311.56,135506792.4,152856075.8,176578113.4,66753935.35,142650532.3,153462277.9,101231279.8,60105233.51,144287699.9,183275514.8,185079070.8
Glucose,14214.11974,31652899.72,24055168.59,29324237.92,22432597.9,20607080.52,26019299.07,22831769.15,20788434.65,23666513.23,23644601.04,20056708.68,18244720.51,30791975.58,21930144.82,17291422.74,12791954.67,28945829.07,22619224.66,11425326.06,15772159,27954049.08,27122332.33,15485006.19,11217026.08,34809337.97,28304136.77,26976004.59,19402787.57,27689449.24,29231113.92,24721628.84,18624767.88,31938757.69,20466582.01,13304965.08,14218678.92,33166118.2,28240164.77,24453596.52,25863545.66,29291359.06,40514374.87,55420697.52,44072409.4,33871798.78,18507489.99,56831906.94,49956983.03,23496423.15,35422704.94,31672267.41,37708693.47,30983860.91,53964933.3,39895687.94,41686566.44,26849336.83,29773610.48,24050446.54,28510786.89,27042627.1,28574715.37,20181667.53,22362427.42,38254487.63,32193870.7,26293308.35,34231676.98,31089221.15,25126967.22,16392910.97,22083988.38,29325602.91,29655673.57,20828528.66,18890810.96,29123730.29,15906126.17,18063601.13,21925056.71,29628305.11,19941316.4,19571280.28,17442099.09,26233987.47,18086291.01,20978558.58,15732475.85
