Time,Glucose,Group,Genotype
0.7692307692308304, 149.29577464788724, 0, WT
0, 219.73636691946547, 0, AIRKO
14.615384615384642, 363.0552546045503, 1, WT
13.846153846153925, 478.5662694113398, 1, AIRKO
30.76923076923083, 250, 2, WT
30.000000000000057, 503.539183820874, 2, AIRKO
60, 187.3420007222823, 3, WT
60, 415.51101480678943, 3, AIRKO
120, 149.31383170819788, 4, WT
120.76923076923083, 253.52112676056333, 4, AIRKO
