Strain	Diet	Fat mass [g]	Glucose [mg/dl]	Insulin [ng/ml]	Fat mass [rel]	Glucose [mg/dl] sim	Insulin [ng/ml] sim
BXD67	HFD	22.4284	162.0		6.2301111111111105	161.53545845229698	1.6627484812480777
BXD68	CD	9.8698	121.647003	0.206	2.7416111111111108	133.39098080617907	0.9751241648664979
BXD68	HFD	13.33	78.5	0.0975	3.7027777777777775	143.37624618920302	1.2010818635591993
BXD69	CD	13.8	129.332993	1.48	3.8333333333333335	144.5466554026547	1.2290000609180258
BXD69	HFD	16.509	202.0	1.733	4.585833333333333	150.68628044379196	1.3798728045493864
BXD70	CD	5.92975	88.0	1.19175	1.647152777777778	116.93177912238205	0.6553212300065722
BXD70	HFD	10.8695	122.0	1.32325	3.0193055555555555	136.56426084604394	1.0444973884365043
BXD71	CD	10.995	79.199997	1.028	3.0541666666666663	136.94241010466033	1.0529306908013643
BXD71	HFD	19.9200005	161.0	3.32	5.533333472222222	157.27763709519522	1.5494981357586837
BXD73	CD	4.67375	157.75	1.06875	1.2982638888888889	109.3116324560465	0.5311070875944862
BXD73	HFD	15.3182	125.800003	1.3462	4.255055555555555	148.10540989363093	1.3155591452364057
BXD73a	CD	13.884	128.0	3.35525	3.8566666666666665	144.75231378217606	1.2339333711093992
BXD73a	HFD	17.4055005	162.0	4.743	4.834861249999999	152.5241561448584	1.4264223043511888
BXD73b	CD	12.74	103.400002	1.0022	3.5388888888888888	141.8531316753937	1.1651870129796165
BXD73b	HFD	18.8645	102.0	1.2394	5.240138888888889	155.34874319773257	1.4991043442857652
BXD75	CD	7.6118	105.199997	1.3596	2.1143888888888887	124.95240045792194	0.8025365032659189
BXD75	HFD	17.2597	163.399994	2.4586	4.794361111111111	152.23094893287512	1.418955254036547
BXD77	CD	6.01	107.5	0.132	1.6694444444444443	117.3679360686189	0.6628465661092943
BXD77	HFD	17.2800005	180.0	2.55	4.800000138888889	152.2717735734413	1.4199949271166283
BXD79	CD	10.421	91.599998	0.085	2.894722222222222	135.17355783973113	1.0138176850065141
BXD79	HFD	16.3558995	133.399994	0.971	4.543305416666667	150.36294014698254	1.371752868397195
BXD8	CD	3.582			0.9949999999999999	100.72763616361247	0.40961311665773514
BXD81	CD	4.998	88.6875	0.2	1.3883333333333334	111.4619827192371	0.564590254125379
BXD81	HFD	20.47	158.5	2.723	5.686111111111111	158.24862920251246	1.5750868777637317
BXD83	CD	3.778	106.0	0.128667	1.0494444444444444	102.4668640668813	0.43259081013232153
BXD83	HFD	11.681000000000001	186.0	3.82975	3.2447222222222223	138.9509954226335	1.0982008164089416
BXD84	CD	8.125	81.599998	0.4724	2.256944444444444	127.05483735686572	0.8439173078380448
BXD84	HFD	19.9230005	127.5	2.105	5.5341668055555555	157.28300240333246	1.5496390794807073
BXD85	CD	14.065999999999999	97.199997	1.2174	3.907222222222222	145.1946983061988	1.2445701094774222
BXD85	HFD	19.9250005	134.75	2.277	5.534722361111111	157.28657927542395	1.5497330419620563
BXD86	CD	4.974			1.3816666666666666	111.30618464858559	0.5621360048756007
BXD87	CD	3.57575	115.800003	1.634	0.993263888888889	100.6721760901664	0.4088804095954078
BXD87	HFD	10.148975	191.0	2.0186	2.819159722222222	134.30502987193043	0.9948705835713052
BXD89	CD	7.474	115.25	0.31	2.076111111111111	124.35884326175491	0.7911094413818096
BXD89	HFD	13.233	95.300003	1.401	3.6758333333333333	143.12864753293363	1.1952242643038071
BXD90	CD	4.39	94.0	0.02	1.2194444444444443	107.30480795223632	0.5009282108435059
BXD90	HFD	22.205	157.0	1.188	6.168055555555555	161.17329098119637	1.6530120054847337
BXD95	CD	6.11	123.0	0.3485	1.6972222222222222	117.89369470924632	0.6720656333608928
BXD95	HFD	19.475	131.600006	1.15	5.409722222222222	156.47554473044664	1.5284689235127324
BXD98	CD	7.97	107.199997	0.012	2.2138888888888886	126.43701734008705	0.8316100475433497
BXD98	HFD	19.803799499999997	158.0	1.39	5.501055416666666	157.069819038244	1.54403886861106
BXD99	CD	10.8535	93.0	0.168	3.014861111111111	136.51605058199723	1.04342222638202
BXD99	HFD	19.6685	111.599998	0.8936	5.463472222222222	156.82639138282147	1.537653782509564
C57BL/6J	CD	3.79	109.666672	0.387	1.0527777777777778	102.57334740789776	0.43399760769199014
C57BL/6J	HFD	13.65725	163.0	3.3	3.7936805555555555	144.1959080845558	1.220596341321661
DBA/2J	CD	8.098125	91.8930015	2.72175	2.2494791666666667	126.94771533782747	0.8417833877063032
DBA/2J	HFD	16.602275	132.699997	3.7855	4.611743055555555	150.88128902302535	1.384784349155092
